Polyline,X,Y
1,1697,942
2,1586,787
3,1693,948
4,1697,942
1,1586,787
2,1693,948
3,1578,788
4,1586,787
1,1693,948
2,1578,788
3,1689,954
4,1693,948
1,1578,788
2,1689,954
3,1571,789
4,1578,788
1,1689,954
2,1571,789
3,1686,961
4,1689,954
1,1571,789
2,1686,961
3,1564,790
4,1571,789
1,1686,961
2,1564,790
3,1684,968
4,1686,961
1,1564,790
2,1684,968
3,1557,790
4,1564,790
1,1684,968
2,1557,790
3,1684,976
4,1684,968
1,1557,790
2,1684,976
3,1552,791
4,1557,790
1,1670,976
2,1671,976
3,1538,792
4,1670,976
1,1671,976
2,1538,792
3,1552,791
4,1671,976
1,1684,976
2,1684,976
3,1671,976
4,1684,976
1,1684,976
2,1671,976
3,1552,791
4,1684,976
1,1665,976
2,1665,976
3,1534,793
4,1665,976
1,1665,976
2,1534,793
3,1538,792
4,1665,976
1,1665,976
2,1538,792
3,1670,976
4,1665,976
1,1645,976
2,1649,976
3,1516,795
4,1645,976
1,1649,976
2,1516,795
3,1534,793
4,1649,976
1,1649,976
2,1534,793
3,1665,976
4,1649,976
1,1515,795
2,1516,795
3,1645,976
4,1515,795
1,1516,795
2,1645,976
3,1645,976
4,1516,795
1,1616,976
2,1623,976
3,1488,797
4,1616,976
1,1623,976
2,1488,797
3,1515,795
4,1623,976
1,1623,976
2,1515,795
3,1645,976
4,1623,976
1,1608,965
2,1488,797
3,1604,960
4,1608,965
1,1488,797
2,1604,960
3,1488,797
4,1488,797
1,1615,976
2,1615,976
3,1612,971
4,1615,976
1,1615,976
2,1612,971
3,1608,965
4,1615,976
1,1615,976
2,1608,965
3,1616,976
4,1615,976
1,1604,960
2,1488,797
3,1598,955
4,1604,960
1,1488,797
2,1598,955
3,1486,798
4,1488,797
1,1614,976
2,1612,971
3,1615,976
4,1614,976
1,1612,971
2,1615,976
3,1612,971
1,1598,955
2,1486,798
3,1593,951
4,1598,955
1,1486,798
2,1593,951
3,1483,798
4,1486,798
1,1593,951
2,1483,798
3,1586,947
4,1593,951
1,1483,798
2,1586,947
3,1480,798
4,1483,798
1,1586,947
2,1480,798
3,1580,945
4,1586,947
1,1480,798
2,1580,945
3,1475,799
4,1480,798
1,1580,945
2,1475,799
3,1574,943
4,1580,945
1,1475,799
2,1574,943
3,1471,799
4,1475,799
1,1574,943
2,1471,799
3,1573,943
4,1574,943
1,1471,799
2,1573,943
3,1471,800
4,1471,799
1,1573,943
2,1471,800
3,1566,942
4,1573,943
1,1471,800
2,1566,942
3,1472,811
4,1471,800
1,1566,942
2,1472,811
3,1559,943
4,1566,942
1,1472,811
2,1559,943
3,1473,823
4,1472,811
1,1473,823
2,1486,950
1,1559,943
2,1473,823
3,1486,950
4,1559,943
1,1473,823
2,1486,950
3,1473,823
1,1486,950
2,1486,950
1,2269,880
2,2300,924
3,2268,880
4,2269,880
1,2300,924
2,2268,880
3,2277,940
4,2300,924
1,2268,880
2,2277,940
3,2237,883
4,2268,880
1,1771,976
2,1743,935
3,1772,976
4,1771,976
1,1772,976
2,1846,976
3,1743,935
4,1772,976
1,1846,976
2,1743,935
3,2237,883
4,1846,976
1,1927,976
2,2277,940
3,1846,976
4,1927,976
1,2277,940
2,1846,976
3,2237,883
4,2277,940
1,2381,895
2,2385,902
3,2378,891
4,2381,895
1,2385,902
2,2378,891
3,2386,904
4,2385,902
1,2378,891
2,2386,904
3,2375,888
4,2378,891
1,2386,904
2,2375,888
