xmin,ymin,xmax,ymax,Text
21,3481,3474
22,3470,3472
1,2968,3140
2,2969,3140
3,2969,3140
4,2969,3140
5,2969,3141
6,2969,3142
7,2968,3142
8,2967,3142
9,2967,3141
1,2970,3140
2,2970,3140
3,2971,3140
4,2972,3140
5,2972,3140
6,2972,3141
7,2970,3142
8,2972,3143
1,2976,3143
2,2976,3140
3,2976,3143
4,2978,3141
5,2978,3143
1,2979,3143
2,2979,3141
3,2980,3143
4,2982,3141
5,2981,3143
1,2985,3144
2,2985,3142
1,2986,3144
2,2986,3143
3,2986,3143
1,2986,3143
2,2987,3143
3,2988,3143
4,2988,3145
1,2992,3143
2,2992,3143
3,2992,3144
4,2992,3145
5,2992,3145
6,2992,3146
7,2993,3145
8,2994,3145
9,2994,3144
10,2994,3143
11,2993,3143
12,2993,3143
13,2992,3143
1,2994,3146
2,2995,3144
3,2996,3144
4,2996,3145
5,2996,3146
6,2996,3146
7,2995,3146
8,2995,3145
1,2997,3145
2,2999,3146
3,2999,3145
4,2998,3144
5,2998,3145
6,2997,3145
7,2997,3146
8,2998,3146
9,2998,3146
10,2999,3146
11,2999,3146
1,2999,3146
2,3000,3145
3,2999,3146
1,3000,3145
2,3001,3145
1,3003,3147
2,3003,3146
3,3002,3145
4,3002,3145
5,3002,3146
6,3002,3146
7,3002,3146
8,3003,3146
1,3005,3145
2,3005,3146
3,3005,3147
4,3005,3147
1,3004,3146
2,3005,3146
1,3006,3145
2,3006,3145
1,3006,3146
2,3006,3147
1,3008,3146
2,3008,3146
3,3007,3146
4,3007,3147
5,3008,3147
6,3009,3148
7,3009,3147
8,3009,3147
9,3009,3146
10,3009,3146
11,3008,3146
1,3010,3148
2,3010,3146
3,3011,3146
4,3012,3146
5,3012,3147
6,3012,3148
1,2322,2321
2,2318,2321
3,2317,2327
4,2299,2327
1,2466,2807
2,3466,2953
3,3545,3061
4,3706,3084
5,3729,2927
6,3879,2951
1,3147,2936
2,3149,2937
3,3148,2938
4,3149,2938
5,3149,2939
6,3148,2939
7,3148,2939
8,3147,2939
9,3147,2939
1,3150,2938
2,3150,2937
3,3150,2937
4,3151,2937
5,3151,2938
6,3151,2939
7,3150,2939
8,3151,2939
1,3155,2940
2,3155,2938
3,3156,2940
4,3157,2938
5,3157,2941
1,3158,2941
2,3159,2939
3,3160,2941
4,3161,2939
5,3160,2941
1,3164,2942
2,3165,2939
1,3166,2942
2,3166,2940
3,3166,2941
1,3166,2940
2,3166,2940
3,3167,2940
4,3167,2941
5,3167,2942
1,3172,2940
2,3171,2941
3,3171,2942
4,3171,2942
5,3172,2942
6,3173,2942
7,3173,2942
8,3173,2941
9,3173,2941
10,3173,2940
11,3172,2940
1,3173,2944
2,3174,2942
3,3175,2942
4,3176,2942
5,3176,2942
6,3176,2943
7,3175,2943
8,3174,2943
9,3174,2942
1,3176,2942
2,3178,2942
3,3178,2942
4,3177,2942
5,3176,2942
6,3176,2943
7,3177,2943
8,3178,2943
1,3179,2944
2,3180,2942
3,3179,2943
1,3180,2942
2,3180,2942
1,3183,2942
2,3182,2942
3,3181,2942
4,3181,2943
5,3181,2944
6,3182,2944
7,3183,2944
8,3183,2942
9,3183,2943
1,3184,2942
2,3184,2944
3,3184,2945
4,3185,2945
1,3183,2943
2,3185,2943
1,3186,2942
2,3186,2942
3,3186,2942
1,3186,2943
2,3186,2945
1,3187,2943
2,3187,2944
3,3186,2944
4,3186,2945
5,3187,2945
6,3188,2945
7,3189,2945
8,3189,2944
9,3188,2944
10,3188,2943
11,3187,2943
1,3189,2946
2,3189,2944
3,3190,2944
4,3191,2944
5,3191,2946
1,3487,3409
2,3482,3408
3,3483,3390
4,3455,3386
1,1846,1594
2,1849,1570
1,1028,3275
2,1028,3290
1,4057,662
2,4060,662
3,4065,631
4,4150,559
5,4352,566
1,1938,1607
2,1946,1578
1,614,1861
2,594,1867
1,594,1739
2,582,1738
1,2359,2069
2,2325,2068
1,3697,3149
2,3678,3284
3,3656,3443
4,3666,3445
1,3685,3271
2,3685,3273
3,3684,3272
4,3683,3272
5,3683,3273
6,3682,3272
7,3682,3271
8,3682,3271
9,3683,3271
1,3684,3274
2,3684,3274
3,3684,3275
4,3683,3275
5,3682,3274
6,3682,3275
1,3681,3279
2,3684,3279
3,3681,3280
4,3683,3281
5,3681,3281
1,3681,3282
2,3683,3283
3,3681,3284
4,3683,3285
5,3680,3284
1,3680,3288
2,3682,3289
1,3680,3290
2,3682,3290
1,3681,3290
2,3681,3291
3,3681,3291
4,3679,3291
1,3681,3296
2,3681,3295
3,3680,3295
4,3679,3295
5,3679,3296
6,3679,3297
7,3679,3297
8,3679,3297
9,3680,3297
10,3681,3297
11,3681,3297
12,3681,3296
1,3678,3297
2,3680,3298
3,3680,3299
4,3680,3300
5,3679,3300
6,3679,3300
7,3679,3299
8,3679,3298
1,3679,3301
2,3679,3302
3,3679,3302
4,3679,3301
5,3679,3301
6,3679,3301
7,3679,3301
8,3678,3301
9,3678,3302
10,3679,3302
1,3678,3303
2,3679,3304
3,3679,3304
1,3679,3304
2,3679,3304
1,3677,3307
2,3679,3307
3,3679,3307
4,3679,3306
5,3679,3305
6,3678,3305
7,3678,3306
8,3677,3306
9,3678,3307
1,3679,3308
2,3678,3308
3,3677,3308
4,3677,3309
1,3679,3308
2,3679,3309
1,3679,3310
2,3679,3311
3,3679,3310
1,3679,3310
2,3677,3310
1,3679,3311
2,3678,3311
3,3678,3311
4,3677,3311
5,3676,3312
6,3677,3312
7,3677,3313
8,3678,3313
9,3678,3312
10,3679,3311
1,3676,3314
2,3678,3314
3,3678,3314
4,3678,3315
5,3677,3315
6,3676,3315
1,3337,529
2,3337,540
1,2465,2814
2,2560,2828
