xmin,ymin,xmax,ymax,Text
1,3518,1802
2,3521,1801
1,3518,1799
2,3521,1799
3,3518,1798
4,3521,1798
5,3519,1795
1,3522,1796
2,3519,1795
3,3520,1793
4,3521,1792
5,3521,1793
6,3521,1794
7,3521,1795
1,3521,1794
2,3523,1793
1,3524,1792
2,3521,1791
3,3521,1790
4,3521,1789
5,3522,1789
6,3523,1789
7,3524,1789
8,3524,1790
9,3524,1791
10,3524,1792
1,3524,1788
2,3524,1785
1,3524,1782
2,3524,1782
3,3524,1782
4,3524,1781
5,3524,1781
6,3525,1781
7,3525,1782
8,3526,1784
9,3528,1781
1,3528,1780
2,3524,1779
3,3525,1777
1,3526,1779
2,3527,1778
1,3528,1780
2,3528,1778
1,3526,1775
2,3526,1775
3,3529,1775
1,3528,1773
2,3528,1772
3,3527,1772
4,3530,1773
1,3528,1770
2,3528,1767
3,3531,1770
1,3529,1765
2,3529,1766
3,3530,1767
4,3531,1767
5,3531,1767
6,3532,1767
7,3532,1766
8,3532,1765
9,3532,1765
10,3531,1764
11,3531,1764
12,3530,1764
13,3530,1765
14,3529,1765
15,3529,1765
1,3531,1763
2,3533,1760
1,3534,1759
2,3531,1758
3,3532,1756
4,3532,1755
5,3533,1755
6,3534,1755
7,3534,1756
8,3534,1757
9,3533,1759
1,3536,1755
2,3533,1754
3,3536,1754
4,3534,1752
5,3537,1752
1,3534,1749
2,3534,1749
3,3535,1750
4,3536,1750
5,3537,1751
6,3538,1750
7,3538,1749
8,3538,1749
9,3537,1748
10,3536,1748
11,3535,1748
12,3534,1749
1,3536,1745
2,3536,1746
3,3537,1746
4,3538,1745
5,3538,1745
6,3538,1745
7,3539,1745
8,3539,1745
9,3539,1746
10,3538,1747
11,3538,1747
12,3537,1746
13,3537,1745
14,3538,1745
15,3537,1744
16,3536,1744
17,3536,1745
18,3536,1745
1,3537,1742
2,3538,1740
3,3538,1742
4,3538,1741
5,3539,1741
6,3540,1741
7,3540,1742
8,3540,1742
9,3540,1743
10,3539,1743
1,3538,1739
2,3538,1739
3,3538,1738
4,3538,1737
5,3539,1737
6,3540,1737
7,3540,1738
8,3541,1740
9,3541,1738
1,3541,1736
2,3542,1732
1,3544,1732
2,3541,1731
3,3541,1729
4,3541,1729
5,3542,1729
6,3543,1729
7,3543,1729
8,3542,1732
1,3545,1728
2,3542,1727
1,3543,1725
2,3544,1728
1,3544,1726
2,3546,1726
1,3547,1722
2,3544,1722
3,3545,1724
4,3546,1721
1,3545,1718
2,3544,1719
3,3546,1720
4,3545,1719
5,3546,1719
6,3546,1719
7,3546,1718
8,3547,1718
9,3547,1718
10,3547,1719
11,3547,1719
12,3547,1720
13,3547,1720
1,3546,1716
2,3546,1714
3,3547,1716
4,3547,1715
5,3547,1714
6,3548,1714
7,3549,1715
8,3549,1716
9,3549,1716
10,3548,1716
11,3548,1717
1,3551,1712
2,3547,1711
3,3549,1713
4,3550,1710
1,3514,1798
2,3514,1798
3,3514,1797
4,3517,1798
1,3515,1795
2,3515,1795
3,3515,1794
4,3518,1795
1,3519,1790
2,3516,1788
1,3518,1788
2,3518,1790
1,3518,1788
2,3520,1788
1,3518,1785
2,3521,1785
3,3518,1783
1,3523,1780
2,3520,1778
1,3523,1778
2,3521,1778
3,3521,1777
4,3521,1776
5,3522,1776
6,3524,1776
1,3523,1769
2,3523,1770
3,3523,1771
4,3524,1771
5,3524,1771
6,3525,1771
7,3526,1770
8,3526,1769
9,3526,1768
10,3525,1768
11,3524,1768
12,3524,1768
13,3523,1768
14,3523,1769
1,3524,1767
2,3528,1768
1,3525,1767
2,3525,1766
3,3525,1765
4,3526,1765
5,3527,1765
6,3527,1766
7,3527,1767
8,3526,1768
1,3527,1764
2,3528,1762
3,3527,1762
4,3526,1762
5,3526,1763
6,3527,1764
7,3528,1764
8,3528,1763
9,3528,1762
10,3528,1762
1,3529,1761
2,3527,1760
1,3528,1761
2,3528,1760
3,3528,1759
4,3528,1759
1,3528,1755
2,3531,1756
1,3529,1756
2,3528,1756
3,3528,1757
4,3528,1758
5,3528,1759
6,3529,1759
7,3530,1758
8,3530,1757
9,3530,1756
1,3528,1754
2,3531,1755
3,3531,1754
1,3529,1755
2,3529,1753
1,3529,1752
2,3529,1752
1,3530,1752
2,3531,1752
1,3531,1749
2,3531,1750
3,3531,1751
4,3531,1751
5,3532,1751
6,3532,1750
7,3533,1750
8,3533,1749
9,3532,1749
10,3531,1749
11,3531,1749
12,3531,1749
1,3533,1748
2,3531,1747
1,3532,1747
2,3531,1746
3,3531,1745
4,3532,1745
5,3534,1745
1,4127,24
2,4086,147
3,4030,315
4,3780,1066
5,3279,2571
6,3239,2692
7,2978,3476
1,3074,3240
2,3077,3241
3,3097,3182
4,3369,3272
5,3982,3476
1,3780,3409
2,3781,3406
3,3783,3407
4,3783,3408
5,3784,3408
6,3783,3409
7,3782,3409
8,3781,3408
1,3784,3411
2,3784,3408
1,3787,3409
2,3784,3410
1,3785,3409
2,3786,3412
1,3788,3409
2,3789,3409
3,3788,3412
1,3791,3411
2,3792,3410
3,3791,3413
1,3797,3412
2,3794,3411
3,3794,3412
4,3794,3412
5,3795,3412
6,3796,3412
7,3796,3413
8,3796,3414
9,3795,3415
10,3794,3415
11,3794,3414
12,3794,3414
13,3794,3413
1,3799,3412
