Polyline,X,Y
7,2674,2393
8,2675,2393
9,2675,2393
1,2676,2393
2,2676,2392
3,2676,2393
1,2676,2392
2,2677,2392
3,2677,2392
1,2679,2394
2,2680,2393
3,2679,2393
4,2679,2393
5,2678,2393
6,2678,2393
7,2678,2393
8,2678,2394
9,2678,2394
10,2678,2394
11,2679,2394
1,2681,2393
2,2681,2394
3,2681,2395
4,2681,2395
1,2681,2393
2,2681,2394
1,2682,2393
2,2683,2393
3,2682,2393
1,2682,2394
2,2682,2396
1,2684,2394
2,2683,2394
3,2683,2395
4,2683,2395
5,2683,2396
6,2683,2396
7,2684,2396
8,2684,2396
9,2684,2396
10,2684,2395
11,2684,2394
1,2685,2397
2,2685,2395
1,2685,2396
2,2686,2396
3,2686,2396
4,2687,2396
5,2686,2397
1,74,1659
2,74,1658
3,73,1658
4,72,1658
5,72,1658
6,72,1659
7,72,1659
8,72,1659
9,73,1659
10,74,1660
11,74,1661
12,73,1661
13,72,1661
14,72,1661
15,72,1660
1,76,1659
2,76,1659
3,76,1659
4,75,1659
5,75,1659
6,75,1659
7,75,1660
8,76,1660
9,76,1660
10,76,1661
11,76,1661
12,76,1661
13,75,1661
14,75,1661
15,75,1661
1,77,1659
2,78,1659
3,77,1662
1,79,1660
2,80,1659
3,79,1662
1,83,1661
2,83,1661
3,83,1660
4,82,1660
5,82,1660
6,82,1661
7,81,1661
8,81,1662
9,81,1662
10,82,1662
11,82,1662
12,83,1662
13,83,1662
14,83,1661
15,82,1661
16,82,1661
17,81,1662
1,85,1661
2,84,1661
3,84,1661
4,84,1662
5,84,1662
6,84,1663
7,85,1663
8,85,1663
9,86,1662
10,86,1662
11,86,1661
12,85,1661
13,85,1661
14,85,1661
1,88,1662
2,88,1661
3,87,1661
4,87,1662
5,86,1662
6,86,1663
7,87,1663
8,88,1663
9,88,1663
10,88,1663
11,88,1662
12,88,1662
13,87,1662
14,86,1662
15,86,1663
1,89,1663
2,91,1663
1,92,1664
2,93,1662
3,94,1662
4,94,1663
5,94,1663
6,94,1663
7,93,1663
8,92,1663
1,95,1665
2,96,1663
1,97,1663
2,95,1664
1,96,1664
2,97,1665
1,98,1664
2,99,1663
3,98,1665
1,100,1664
2,101,1664
3,100,1666
1,104,1664
2,103,1664
3,103,1665
4,103,1665
5,104,1665
6,104,1665
7,104,1665
8,104,1666
9,104,1666
10,103,1666
11,103,1666
12,102,1666
1,106,1664
2,105,1664
3,105,1665
4,105,1665
5,106,1665
6,106,1666
7,106,1666
8,106,1667
9,106,1667
10,105,1667
11,105,1666
12,105,1666
13,105,1665
14,106,1665
15,106,1665
16,107,1665
17,106,1665
18,106,1664
1,109,1665
2,108,1665
3,107,1666
4,108,1666
5,108,1666
6,109,1666
7,109,1666
8,109,1667
9,108,1668
10,108,1668
11,108,1667
12,107,1667
13,107,1666
1,110,1668
2,111,1665
3,112,1668
1,110,1667
2,112,1667
1,75,1656
2,75,1656
3,76,1656
4,76,1658
1,77,1656
2,78,1656
3,77,1658
1,82,1659
2,82,1657
1,83,1658
2,82,1658
1,82,1658
2,83,1659
1,84,1657
2,85,1659
3,86,1657
1,89,1660
2,89,1658
1,90,1661
2,90,1659
3,90,1659
1,90,1659
2,91,1659
3,91,1659
4,91,1659
5,91,1661
1,96,1659
2,96,1659
3,95,1659
4,95,1660
5,95,1661
6,95,1661
7,96,1662
8,96,1662
9,97,1662
10,97,1661
11,97,1661
12,97,1661
13,97,1660
14,97,1659
15,96,1659
1,98,1663
2,98,1661
3,98,1661
4,99,1661
5,99,1661
6,99,1662
7,99,1662
8,98,1662
9,98,1662
1,100,1662
2,102,1662
3,101,1661
4,101,1661
5,100,1661
6,100,1662
7,100,1662
8,101,1663
9,101,1663
10,101,1662
1,103,1663
2,103,1661
1,103,1662
2,103,1662
3,103,1662
4,104,1662
1,106,1663
2,106,1662
3,105,1662
4,105,1662
5,105,1662
6,104,1662
7,104,1663
8,105,1663
9,105,1663
10,106,1663
1,107,1662
2,107,1663
3,107,1664
1,107,1662
2,108,1662
1,109,1662
2,109,1662
3,109,1662
1,109,1663
2,108,1664
1,111,1663
2,110,1663
3,110,1663
4,110,1663
5,110,1664
6,110,1664
7,111,1664
8,111,1664
9,111,1664
10,111,1663
11,111,1663
1,112,1665
2,112,1663
1,112,1664
2,113,1663
3,113,1663
4,114,1664
5,113,1665
1,2422,1359
2,2238,1914
3,2236,1928
4,2140,2213
5,2142,2239
1,2288,1768
2,2288,1768
3,2288,1769
4,2286,1769
1,2287,1771
2,2288,1771
3,2288,1771
4,2286,1771
1,2285,1775
2,2287,1775
1,2287,1777
2,2286,1775
1,2286,1775
2,2285,1777
1,2287,1778
2,2285,1778
3,2287,1780
1,2284,1782
2,2287,1782
3,2286,1784
4,2286,1785
5,2285,1784
6,2285,1783
7,2285,1782
1,2284,1785
2,2286,1785
1,2285,1785
2,2285,1785
3,2285,1786
4,2285,1786
1,2285,1788
2,2285,1787
3,2285,1787
4,2284,1787
5,2284,1787
6,2283,1787
7,2283,1788
8,2283,1788
9,2284,1788
10,2285,1789
11,2285,1788
12,2285,1788
13,2285,1788
1,2285,1789
2,2283,1789
1,2285,1789
2,2285,1790
3,2285,1790
4,2285,1790
5,2285,1791
6,2284,1791
7,2283,1791
8,2283,1790
9,2283,1790
10,2283,1789
1,2285,1793
2,2284,1792
3,2283,1792
4,2283,1792
5,2283,1793
6,2283,1793
7,2283,1793
8,2283,1794
9,2284,1794
10,2285,1793
